Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
.		1631612262589	00030608	00005908	00000000	00000039	00000905	NaN     	-76.915000	-155.910000	-83.900000	359.999000	0.001000	True	1313,96
L		1631612262589	00030610	00005910	00000000	00000039	00000909	00000004	-76.908000	-155.910000	-83.900000	359.999000	0.001000	True	618,46
L		1631612262589	00030612	00005912	00000000	00000039	00000913	00000004	-76.894000	-155.910000	-83.900000	359.999000	0.001000	True	1335,61
L		1631612262589	00030614	00005914	00000000	00000039	00000917	00000004	-76.871000	-155.910000	-83.900000	359.999000	0.001000	False	21,6
L		1631612262605	00030616	00005916	00000000	00000039	00000921	00000004	-76.842000	-155.920000	-83.900000	359.999000	0.001000	True	462,35
L		1631612262605	00030618	00005918	00000000	00000039	00000925	00000004	-76.808000	-155.920000	-83.900000	359.999000	0.001000	True	1064,64
L		1631612262605	00030620	00005920	00000000	00000039	00000929	00000004	-76.769000	-155.920000	-83.900000	359.999000	0.001000	False	2695,42
L		1631612262621	00030623	00005923	00000000	00000039	00000935	00000006	-76.697000	-155.910000	-83.900000	359.999000	0.001000	False	2569,05
L		1631612262621	00030625	00005925	00000000	00000039	00000939	00000004	-76.641000	-155.910000	-83.900000	359.999000	0.001000	False	2731,06
L		1631612262621	00030628	00005928	00000000	00000039	00000945	00000006	-76.547000	-155.910000	-83.900000	359.999000	0.001000	True	1655,12
L		1631612262621	00030630	00005930	00000000	00000039	00000949	00000004	-76.477000	-155.900000	-83.900000	359.999000	0.001000	True	2379,34
L		1631612262636	00030633	00005933	00000000	00000039	00000955	00000006	-76.366000	-155.900000	-83.900000	359.999000	0.001000	False	1170,62
L		1631612262636	00030635	00005935	00000000	00000039	00000959	00000004	-76.288000	-155.900000	-83.900000	359.999000	0.001000	True	944,78
L		1631612262636	00030638	00005938	00000000	00000039	00000965	00000006	-76.168000	-155.900000	-83.900000	359.999000	0.001000	True	743,85
L		1631612262652	00030640	00005940	00000000	00000039	00000969	00000004	-76.086000	-155.910000	-83.900000	359.999000	0.001000	False	1574,68
L		1631612262652	00030643	00005943	00000000	00000039	00000975	00000006	-75.974000	-155.910000	-83.900000	359.999000	0.001000	True	2672,24
L		1631612262652	00030645	00005945	00000000	00000039	00000979	00000004	-75.904000	-155.910000	-83.900000	359.999000	0.001000	False	2012,38
L		1631612262667	00030647	00005947	00000000	00000039	00000983	00000004	-75.834000	-155.910000	-83.900000	359.999000	0.001000	False	2469,08
L		1631612262667	00030649	00005949	00000000	00000039	00000987	00000004	-75.769000	-155.910000	-83.900000	359.999000	0.001000	False	160,88
L		1631612262667	00030652	00005952	00000000	00000039	00000993	00000006	-75.672000	-155.910000	-83.900000	359.999000	0.001000	False	2089,84
L		1631612262683	00030655	00005955	00000000	00000039	00000999	00000006	-75.578000	-155.910000	-83.900000	359.999000	0.001000	False	2140,83
L		1631612262683	00030657	00005957	00000000	00000040	00000003	00000004	-75.517000	-155.910000	-83.900000	359.999000	0.001000	False	800,64
L		1631612262683	00030659	00005959	00000000	00000040	00000007	00000004	-75.456000	-155.910000	-83.900000	359.999000	0.001000	False	2525,64
L		1631612262683	00030661	00005961	00000000	00000040	00000011	00000004	-75.397000	-155.910000	-83.900000	359.999000	0.001000	False	1451,88
L		1631612262699	00030663	00005963	00000000	00000040	00000015	00000004	-75.337000	-155.910000	-83.900000	359.999000	0.001000	False	2867,69
L		1631612262699	00030665	00005965	00000000	00000040	00000019	00000004	-75.277000	-155.910000	-83.900000	359.999000	0.001000	False	1266,29
L		1631612262699	00030667	00005967	00000000	00000040	00000023	00000004	-75.217000	-155.910000	-83.900000	359.999000	0.001000	True	2270,13
L		1631612262699	00030669	00005969	00000000	00000040	00000027	00000004	-75.157000	-155.900000	-83.900000	359.999000	0.001000	True	2561,06
L		1631612262714	00030671	00005971	00000000	00000040	00000031	00000004	-75.096000	-155.900000	-83.900000	359.999000	0.001000	True	223,65
L		1631612262714	00030673	00005973	00000000	00000040	00000035	00000004	-75.034000	-155.900000	-83.900000	359.999000	0.001000	False	486,18
L		1631612262714	00030675	00005975	00000000	00000040	00000039	00000004	-74.971000	-155.900000	-83.900000	359.999000	0.001000	True	1744,85
L		1631612262714	00030677	00005977	00000000	00000040	00000043	00000004	-74.909000	-155.900000	-83.900000	359.999000	0.001000	True	2457,39
L		1631612262730	00030679	00005979	00000000	00000040	00000047	00000004	-74.846000	-155.900000	-83.900000	359.999000	0.001000	False	1147,92
L		1631612262730	00030681	00005981	00000000	00000040	00000051	00000004	-74.787000	-155.900000	-83.900000	359.999000	0.001000	True	632,14
L		1631612262730	00030683	00005983	00000000	00000040	00000055	00000004	-74.729000	-155.900000	-83.900000	359.999000	0.001000	False	807,8
L		1631612262730	00030685	00005985	00000000	00000040	00000059	00000004	-74.670000	-155.900000	-83.900000	359.999000	0.001000	False	2499,52
L		1631612262745	00030687	00005987	00000000	00000040	00000063	00000004	-74.610000	-155.910000	-83.900000	359.999000	0.001000	True	2330,39
L		1631612262745	00030689	00005989	00000000	00000040	00000067	00000004	-74.552000	-155.910000	-83.900000	359.999000	0.001000	True	1839,91
L		1631612262745	00030692	00005992	00000000	00000040	00000073	00000006	-74.464000	-155.910000	-83.900000	359.999000	0.001000	False	2163,32
L		1631612262761	00030694	00005994	00000000	00000040	00000077	00000004	-74.405000	-155.910000	-83.900000	359.999000	0.001000	True	1465,38
L		1631612262761	00030696	00005996	00000000	00000040	00000081	00000004	-74.346000	-155.910000	-83.900000	359.999000	0.001000	False	2458,25
L		1631612262761	00030698	00005998	00000000	00000040	00000085	00000004	-74.287000	-155.910000	-83.900000	359.999000	0.001000	True	2986,46
L		1631612262761	00030700	00006000	00000000	00000040	00000089	00000004	-74.227000	-155.910000	-83.900000	359.999000	0.001000	True	515,68
L		1631612262777	00030702	00006002	00000000	00000040	00000093	00000004	-74.168000	-155.910000	-83.900000	359.999000	0.001000	False	827,49
L		1631612262777	00030704	00006004	00000000	00000040	00000097	00000004	-74.107000	-155.900000	-83.900000	359.999000	0.001000	True	931,67
L		1631612262777	00030707	00006007	00000000	00000040	00000103	00000006	-74.014000	-155.900000	-83.900000	359.999000	0.001000	True	2463,9
L		1631612262792	00030709	00006009	00000000	00000040	00000107	00000004	-73.950000	-155.900000	-83.900000	359.999000	0.001000	False	1693
L		1631612262792	00030711	00006011	00000000	00000040	00000111	00000004	-73.887000	-155.900000	-83.900000	359.999000	0.001000	True	1850,49
L		1631612262792	00030713	00006013	00000000	00000040	00000115	00000004	-73.825000	-155.900000	-83.900000	359.999000	0.001000	True	1027,05
L		1631612262792	00030715	00006015	00000000	00000040	00000119	00000004	-73.765000	-155.900000	-83.900000	359.999000	0.001000	True	2129,08
L		1631612262808	00030717	00006017	00000000	00000040	00000123	00000004	-73.706000	-155.900000	-83.900000	359.999000	0.001000	True	1614,29
L		1631612262808	00030719	00006019	00000000	00000040	00000127	00000004	-73.647000	-155.900000	-83.900000	359.999000	0.001000	False	1963,53
L		1631612262808	00030721	00006021	00000000	00000040	00000131	00000004	-73.587000	-155.900000	-83.900000	359.999000	0.001000	False	1100,28
L		1631612262808	00030723	00006023	00000000	00000040	00000135	00000004	-73.527000	-155.900000	-83.900000	359.999000	0.001000	True	1623,18
L		1631612262824	00030725	00006025	00000000	00000040	00000139	00000004	-73.468000	-155.910000	-83.900000	359.999000	0.001000	True	2109,27
L		1631612262824	00030727	00006027	00000000	00000040	00000143	00000004	-73.408000	-155.910000	-83.900000	359.999000	0.001000	False	2722,88
L		1631612262824	00030729	00006029	00000000	00000040	00000147	00000004	-73.346000	-155.910000	-83.900000	359.999000	0.001000	False	1698,25
L		1631612262824	00030731	00006031	00000000	00000040	00000151	00000004	-73.287000	-155.910000	-83.900000	359.999000	0.001000	True	1503,41
L		1631612262839	00030733	00006033	00000000	00000040	00000155	00000004	-73.227000	-155.910000	-83.900000	359.999000	0.001000	True	717,19
L		1631612262839	00030735	00006035	00000000	00000040	00000159	00000004	-73.166000	-155.900000	-83.900000	359.999000	0.001000	True	1700,9
L		1631612262839	00030737	00006037	00000000	00000040	00000163	00000004	-73.106000	-155.900000	-83.900000	359.999000	0.001000	False	675,71
L		1631612262839	00030739	00006039	00000000	00000040	00000167	00000004	-73.046000	-155.900000	-83.900000	359.999000	0.001000	False	1807,21
L		1631612262855	00030741	00006041	00000000	00000040	00000171	00000004	-72.985000	-155.900000	-83.900000	359.999000	0.001000	False	953,79
L		1631612262855	00030743	00006043	00000000	00000040	00000175	00000004	-72.924000	-155.900000	-83.900000	359.999000	0.001000	False	2395,07
L		1631612262855	00030745	00006045	00000000	00000040	00000179	00000004	-72.864000	-155.900000	-83.900000	359.999000	0.001000	True	2745,48
L		1631612262870	00030748	00006048	00000000	00000040	00000185	00000006	-72.775000	-155.900000	-83.900000	359.999000	0.001000	False	1404,05
L		1631612262870	00030750	00006050	00000000	00000040	00000189	00000004	-72.715000	-155.900000	-83.900000	359.999000	0.001000	False	2300,73
L		1631612262870	00030753	00006053	00000000	00000040	00000195	00000006	-72.628000	-155.900000	-83.900000	359.999000	0.001000	False	620,26
L		1631612262870	00030755	00006055	00000000	00000040	00000199	00000004	-72.568000	-155.900000	-83.900000	359.999000	0.001000	True	2545,17
